,abb,name,lat,long,coal,oil,gas,nuclear,hydro,bio,wind,solar,geo,other
1450,CA,Painted Hills Wind Park,33.9369,-116.6183,0,0,0,0,0,0,29908,0,0,0
1451,CA,Painter Energy Storage,34.41,-119.515,,,,,,,,,,
1452,CA,Pala Energy Storage Yard,33.35651,-117.113599,0,0,0,0,0,0,0,0,0,-7
1453,CA,Palo Verde College,33.661667,-114.651667,0,0,0,0,0,0,0,2150,0,0
1454,CA,Palomar Energy Center,33.1197,-117.117778,0,0,1925066,0,0,0,0,0,0,0
1455,CA,Palos Verdes Gas to Energy,33.792778,-118.35,,,,,,,,,,
1456,CA,Panoche Energy Center,36.6514,-120.5833,0,0,615796,0,0,0,0,0,0,0
1457,CA,Panoche Valley Solar Farm,36.78005,-120.729752,0,0,0,0,0,0,0,212405,0,0
1458,CA,Paramount Refinery,33.9,-118.151389,,,,,,,,,,
1459,CA,Pardee,38.2569,-120.8507,0,0,0,0,101490,0,0,0,0,0
1460,CA,Park Meridian #1,33.896111,-117.283611,0,0,0,0,0,0,0,2389,0,0
1461,CA,Parker,37.477838,-120.444492,0,0,0,0,5209,0,0,0,0,0
1462,CA,Parker Dam,34.295334,-114.140222,0,0,0,0,436366,0,0,0,0,0
1463,CA,Parnassus Central Utility Plant,37.762524,-122.456747,0,43.44,72011.56,0,0,0,0,0,0,0
1464,CA,Pastoria Energy Facility,34.9556,-118.844,0,0,4325910,0,0,0,0,0,0,0
1465,CA,Patterson Pass,37.701956,-121.613708,,,,,,,,,,
1466,CA,PE Berkeley,37.870331,-122.26337,0,0,152957,0,0,0,0,0,0,0
1467,CA,Peak Valley Solar Farm,34.987952,-117.571611,,,,,,,,,,
1468,CA,Pebbly Beach,33.333056,-118.310278,0,28794,702,0,0,0,0,0,0,0
1469,CA,Perris,33.8361,-117.1831,0,0,0,0,14812,0,0,0,0,0
1470,CA,PFMG Solar Grossmont Helix LLC,32.753281,-117.035241,0,0,0,0,0,0,0,1355,0,0
1471,CA,Phillips 66 Carbon Plant,38.018056,-122.2344,0,0,0,0,0,0,0,0,0,126783
1472,CA,Phillips 66 Rodeo Refinery,38.0417,-122.2583,0,0,118090.99,0,0,0,0,0,0,271928.01
1473,CA,Phoenix,38.032103,-120.326537,0,0,0,0,5669,0,0,0,0,0
1474,CA,Phoenix Wind Power LLC,33.916667,-116.55,,,,,,,,,,
1475,CA,Pierce College,34.183611,-118.574722,0,0,0,0,0,0,0,3017,0,0
1476,CA,Pilot Knob,32.736642,-114.713858,0,0,0,0,31763,0,0,0,0,0
1477,CA,Pine Flat,36.8326,-119.327,0,0,0,0,340081,0,0,0,0,0
1478,CA,Pine Tree Solar Project,35.229635,-118.1957,0,0,0,0,0,0,0,14661,0,0
1479,CA,Pine Tree Wind Power Project,35.248006,-118.175356,0,0,0,0,0,0,285293,0,0,0
1480,CA,Pinyon Pine I,35.043411,-118.211835,0,0,0,0,0,0,339370,0,0,0
1481,CA,Pinyon Pine II,35.026759,-118.223333,0,0,0,0,0,0,244263,0,0,0
1482,CA,Pio Pico Energy Center LLC,32.573889,-116.917777,0,0,150057,0,0,0,0,0,0,0
1483,CA,Pit 1,40.99084,-121.498243,0,0,0,0,227077,0,0,0,0,0
1484,CA,Pit 3,40.997448,-121.748139,0,0,0,0,257821,0,0,0,0,0
1485,CA,Pit 4,40.986361,-121.84944,0,0,0,0,397187,0,0,0,0,0
1486,CA,Pit 5,40.986197,-121.977594,0,0,0,0,612859,0,0,0,0,0
1487,CA,Pit 6,40.922568,-121.992906,0,0,0,0,268511,0,0,0,0,0
1488,CA,Pit 7,40.847462,-121.990798,0,0,0,0,361008,0,0,0,0,0
1489,CA,Pitchess Cogen Station,34.463896,-118.593991,0,0,133821,0,0,0,0,0,0,0
1490,CA,Pixar - Emeryville,37.83286,-122.284003,0,0,7604,0,0,0,0,0,0,0
1491,CA,Plant No 1 Orange County,33.6942,-117.9381,0,0,4606.903,0,0,37903.097,0,0,0,0
1492,CA,Plant No 2 Orange County,33.6433,-117.9556,0,0,4426.447,0,0,44773.553,0,0,0,0
1493,CA,Pleasant Valley Hydro,37.41416,-118.523889,0,0,0,0,7290,0,0,0,0,0
1494,CA,Ples I,37.6455,-118.9096,0,0,0,0,0,0,0,0,85774,0
1495,CA,Poe,39.722892,-121.469814,0,0,0,0,446263,0,0,0,0,0
1496,CA,"Pomerado Energy Storage, LLC",32.94,-117.04,,,,,,,,,,
