,abb,name,lat,long,coal,oil,gas,nuclear,hydro,bio,wind,solar,geo,other
4,AK,Alakanuk,62.6833,-164.6544,0,1859,0,0,0,0,0,0,0,0
5,AK,Anchorage 1,61.2328,-149.8909,0,366.529,55061.471,0,0,0,0,0,0,0
6,AK,Angoon,57.8425,-134.9772,0,1928,0,0,0,0,0,0,0,0
7,AK,Aniak,61.5875,-159.5317,0,2725,0,0,0,0,0,0,0,0
8,AK,Annex Creek,58.3167,-134.0958,0,0,0,0,26436,0,0,0,0,0
9,AK,Auke Bay,58.3861,-134.6389,0,335,0,0,0,0,0,0,0,0
10,AK,Aurora Energy LLC Chena,64.8461,-147.7286,204196,0,0,0,0,0,0,0,0,0
11,AK,Barrow,71.2789,-156.7981,0,0,49803,0,0,0,0,0,0,0
12,AK,Beaver Falls,55.3633,-131.6778,0,0,0,0,40956,0,0,0,0,0
13,AK,Beluga,61.1861,-151.0356,0,0,2240960,0,0,0,0,0,0,0
14,AK,Bernice Lake,60.6935,-151.3874,0,0,24555,0,0,0,0,0,0,0
15,AK,Bethel,60.7897,-161.7878,0,41926,0,0,0,0,0,0,0,0
16,AK,Black Bear Lake,55.4764,-133.1483,0,0,0,0,20822,0,0,0,0,0
17,AK,Blue Lake,57.0516,-135.2297,0,0,0,0,58422,0,0,0,0,0
18,AK,Bradley Lake,59.7554,-150.8511,0,0,0,0,348270.97,0,0,0,0,0
19,AK,Centennial,55.1139,-131.5481,0,-236,0,0,0,0,0,0,0,0
20,AK,Chester Lake,55.1139,-131.5481,0,0,0,0,3130,0,0,0,0,0
21,AK,Cooper Lake,60.4908,-149.8158,0,0,0,0,45390,0,0,0,0,0
22,AK,Craig,55.4764,-133.1483,0,-84,0,0,0,0,0,0,0,0
23,AK,Delta Power,64.0283,-145.7181,0,13,0,0,0,0,0,0,0,0
24,AK,Dillingham,59.6708,-157.89,0,19143,0,0,0,0,0,0,0,0
25,AK,Dutch Harbor,53.9761,-166.5361,0,28270,0,0,0,0,0,0,0,0
